:|nl,151718
rt|nl,100277
.|nl,83568
!|nl,71377
zijn|nl,70430
ik|nl,62783
de|nl,57596
je|nl,50824
en|nl,47205
?|nl,45161
een|nl,44769
van|nl,42649
het|nl,36749
op|nl,35151
in|nl,35129
...|nl,33140
hebben|nl,33128
met|nl,31294
niet|nl,30905
)|nl,30212
voor|nl,28754
dat|nl,26710
gaan|nl,22867
maar|nl,21286
die|nl,21067
(|nl,20123
te|nl,19754
me|nl,19570
..|nl,18503
als|nl,17769
ook|nl,17583
nog|nl,16389
dan|nl,16194
naar|nl,15514
wat|nl,15113
goed|nl,14851
bij|nl,14462
zo|nl,14460
nu|nl,14144
er|nl,14000
doen|nl,13997
-|nl,13457
wel|nl,13051
echt|nl,12863
weer|nl,12447
kunnen|nl,12007
worden|nl,11896
aan|nl,11840
om|nl,11403
'|nl,11372
moeten|nl,10783
willen|nl,10664
mijn|nl,10508
al|nl,10474
maken|nl,9835
komen|nl,9508
dit|nl,9339
we|nl,9284
over|nl,8834
ze|nl,8782
veel|nl,8528
geen|nl,8487
tweet|nl,8289
uit|nl,8274
jij|nl,8116
zien|nl,8031
nieuw|nl,7974
morgen|nl,7837
leuk|nl,7471
haha|nl,7180
3|nl,6966
dag|nl,6904
ja|nl,6893
vandaag|nl,6786
kijken|nl,6747
zullen|nl,6643
mens|nl,6600
mij|nl,6500
of|nl,6445
school|nl,6290
slapen|nl,6077
omg|nl,6074
deze|nl,6064
vinden|nl,6012
dus|nl,5984
zeggen|nl,5966
<|nl,5928
hoe|nl,5916
;|nl,5911
toch|nl,5904
door|nl,5896
x|nl,5874
uur|nl,5825
volgen|nl,5776
heel|nl,5763
lekker|nl,5741
denken|nl,5677
wie|nl,5591
mooi|nl,5551
ons|nl,5487
jou|nl,5409
wijten|nl,5349
gewoon|nl,5160
even|nl,5157
houden|nl,5010
meer|nl,5003
—|nl,4929
2|nl,4861
1|nl,4706
a|nl,4686
zitten|nl,4538
mee|nl,4490
t|nl,4482
&|nl,4478
i|nl,4453
na|nl,4391
tot|nl,4356
krijgen|nl,4317
gta|nl,4277
laat|nl,4261
eens|nl,4109
altijd|nl,4099
net|nl,4057
retweet|nl,4048
hij|nl,4026
tegen|nl,4012
foto|nl,3953
waar|nl,3952
nee|nl,3908
mogen|nl,3882
geven|nl,3872
alleen|nl,3871
jullie|nl,3840
hier|nl,3819
horen|nl,3814
....|nl,3710
jaar|nl,3685
via|nl,3673
thuis|nl,3603
tijd|nl,3599
mn|nl,3598
man|nl,3595
kan|nl,3525
winnen|nl,3523
hahaha|nl,3464
u|nl,3425
eten|nl,3414
alles|nl,3409
vanavond|nl,3263
staan|nl,3225
ander|nl,3224
daar|nl,3221
iemand|nl,3214
iedereen|nl,3138
>|nl,3123
blijven|nl,3104
lief|nl,3092
week|nl,3063
:d|nl,3024
wij|nl,2987
iets|nl,2968
haar|nl,2967
terug|nl,2965
waarom|nl,2955
hé|nl,2917
tweets|nl,2901
xd|nl,2821
eerste|nl,2799
v|nl,2799
ff|nl,2788
5|nl,2787
nooit|nl,2728
k|nl,2677
lang|nl,2670
helemaal|nl,2597
weg|nl,2581
zoeken|nl,2565
groot|nl,2524
oh|nl,2523
weekend|nl,2516
zin|nl,2489
laten|nl,2480
beginnen|nl,2479
snel|nl,2479
nou|nl,2438
leven|nl,2432
bed|nl,2430
werken|nl,2398
:p|nl,2381
leren|nl,2361
keer|nl,2360
spelen|nl,2357
feliciteren|nl,2338
niks|nl,2307
kans|nl,2306
hem|nl,2304
:-|nl,2268
twitter|nl,2254
gezellig|nl,2212
my|nl,2203
oké|nl,2188
kennen|nl,2188
lezen|nl,2141
klaar|nl,2110
alle|nl,2091
♥|nl,2080
avond|nl,2073
xx|nl,2065
omdat|nl,2053
4|nl,2048
graag|nl,2039
wak|nl,2033
meisje|nl,2021
want|nl,2014
voelen|nl,2013
=|nl,1982
moe|nl,1972
allemaal|nl,1952
bijna|nl,1948
vriend|nl,1926
steeds|nl,1919
werk|nl,1899
huis|nl,1896
erg|nl,1867
10|nl,1861
||nl,1851
liggen|nl,1836
zelf|nl,1823
hun|nl,1820
af|nl,1815
mis|nl,1814
app|nl,1806
nemen|nl,1797
vanaf|nl,1794
ajax|nl,1791
super|nl,1785
no|nl,1752
n|nl,1749
pas|nl,1739
amsterdam|nl,1737
halen|nl,1729
jong|nl,1727
schat|nl,1724
kom|nl,1720
eindelijk|nl,1711
praten|nl,1710
wil|nl,1695
beetje|nl,1680
twerk|nl,1678
dm|nl,1663
wedstrijd|nl,1643
wanneer|nl,1641
da|nl,1624
vragen|nl,1618
elke|nl,1617
i'm|nl,1603
7|nl,1601
fijn|nl,1599
jaa|nl,1599
zeker|nl,1597
niën|nl,1578
;-|nl,1572
/|nl,1568
vrij|nl,1568
kind|nl,1566
vrijdag|nl,1562
[|nl,1553
vallen|nl,1552
hard|nl,1539
weten|nl,1535
film|nl,1534
binnen|nl,1533
ding|nl,1529
]|nl,1527
#nieuws|nl,1520
kk|nl,1506
oud|nl,1506
straks|nl,1504
blij|nl,1502
gek|nl,1502
happy|nl,1499
nederland|nl,1492
kopen|nl,1490
zonder|nl,1476
gwn|nl,1469
heerlijk|nl,1466
kut|nl,1460
eerst|nl,1451
2013|nl,1448
wachten|nl,1439
half|nl,1424
lopen|nl,1423
lijken|nl,1410
ziek|nl,1404
danken|nl,1402
lol|nl,1401
nodig|nl,1397
gelukkig|nl,1380
zo'n|nl,1377
facebook|nl,1372
niemand|nl,1345
ok|nl,1343
vraag|nl,1340
klein|nl,1335
:s|nl,1335
zich|nl,1331
plaatsen|nl,1329
soms|nl,1325
♡|nl,1318
hahahaha|nl,1315
hopen|nl,1314
so|nl,1313
eh|nl,1307
zetten|nl,1302
tussen|nl,1301
gratis|nl,1288
zaterdag|nl,1283
toe|nl,1282
achter|nl,1272
jongen|nl,1268
verloten|nl,1263
haten|nl,1254
o|nl,1239
slecht|nl,1238
